"Ngày","Lần cuối","Mở","Cao","Thấp","% Thay đổi"
"11/05/2026","4.370","4.372","4.372","4.370","-0.05%"
"08/05/2026","4.372","4.372","4.372","4.372","-0.02%"
"07/05/2026","4.373","4.373","4.373","4.373","0.02%"
"06/05/2026","4.372","4.372","4.372","4.372","0.16%"
"05/05/2026","4.365","4.365","4.365","4.365","0.37%"
"04/05/2026","4.349","4.375","4.375","4.349","-0.50%"
"01/05/2026","4.371","4.371","4.371","4.371","0.00%"
"30/04/2026","4.371","4.371","4.371","4.371","0.00%"
"29/04/2026","4.371","4.371","4.371","4.371","0.11%"
"28/04/2026","4.366","4.366","4.366","4.366","0.00%"
"27/04/2026","4.366","4.366","4.366","4.366","0.00%"
"24/04/2026","4.366","4.366","4.366","4.366","-0.05%"
"23/04/2026","4.368","4.368","4.368","4.368","-0.09%"
"22/04/2026","4.372","4.362","4.372","4.362","0.00%"
"21/04/2026","4.372","4.372","4.372","4.372","0.00%"
"20/04/2026","4.372","4.372","4.372","4.372","0.37%"
"17/04/2026","4.356","4.356","4.356","4.356","0.02%"
"16/04/2026","4.355","4.355","4.355","4.355","-0.02%"
"15/04/2026","4.356","4.356","4.356","4.356","-0.16%"
"14/04/2026","4.363","4.363","4.363","4.363","-0.11%"
"13/04/2026","4.368","4.368","4.368","4.368","-0.21%"
"10/04/2026","4.377","4.377","4.377","4.377","0.32%"
"09/04/2026","4.363","4.363","4.363","4.363","0.00%"
"08/04/2026","4.363","4.363","4.363","4.363","-0.07%"
"07/04/2026","4.366","4.353","4.366","4.353","0.11%"
"06/04/2026","4.361","4.361","4.361","4.361","0.37%"
"03/04/2026","4.345","4.345","4.345","4.345","-0.30%"
"02/04/2026","4.358","4.358","4.358","4.358","-0.16%"
"01/04/2026","4.365","4.365","4.365","4.365","0.07%"
"31/03/2026","4.362","4.362","4.362","4.362","0.21%"
"30/03/2026","4.353","4.358","4.358","4.353","-0.11%"
"27/03/2026","4.358","4.358","4.358","4.358","0.37%"
"26/03/2026","4.342","4.342","4.342","4.342","0.05%"
"25/03/2026","4.340","4.340","4.340","4.340","-0.30%"
"24/03/2026","4.353","4.353","4.353","4.353","0.37%"
"23/03/2026","4.337","4.337","4.337","4.337","-0.32%"
"20/03/2026","4.351","4.351","4.351","4.351","0.37%"
"19/03/2026","4.335","4.335","4.335","4.335","-0.05%"
"18/03/2026","4.337","4.337","4.337","4.337","0.18%"
"17/03/2026","4.329","4.329","4.329","4.329","-0.18%"
"16/03/2026","4.337","4.337","4.337","4.337","0.18%"
"13/03/2026","4.329","4.329","4.329","4.329","-0.23%"
"12/03/2026","4.339","4.339","4.339","4.339","0.30%"
"11/03/2026","4.326","4.326","4.326","4.326","-0.09%"
"10/03/2026","4.330","4.330","4.330","4.330","0.37%"
"09/03/2026","4.314","4.314","4.314","4.314","0.19%"
"06/03/2026","4.306","4.297","4.306","4.297","0.21%"
"05/03/2026","4.297","4.297","4.297","4.297","-0.26%"
"04/03/2026","4.308","4.308","4.308","4.308","0.30%"
"03/03/2026","4.295","4.295","4.295","4.295","0.12%"
"02/03/2026","4.290","4.252","4.290","4.252","0.89%"
"27/02/2026","4.252","4.252","4.252","4.252","0.00%"
"26/02/2026","4.252","4.252","4.252","4.252","0.02%"
"25/02/2026","4.251","4.251","4.251","4.251","0.00%"
"24/02/2026","4.251","4.251","4.251","4.251","0.12%"
"23/02/2026","4.246","4.246","4.246","4.246","-0.07%"
"20/02/2026","4.249","4.249","4.249","4.249","0.00%"
"19/02/2026","4.249","4.249","4.249","4.249","0.00%"
"18/02/2026","4.249","4.249","4.249","4.249","0.00%"
"17/02/2026","4.249","4.249","4.249","4.249","0.00%"
"16/02/2026","4.249","4.249","4.249","4.249","0.00%"
"13/02/2026","4.249","4.249","4.249","4.249","0.07%"
"12/02/2026","4.246","4.246","4.246","4.246","0.00%"
"11/02/2026","4.246","4.246","4.246","4.246","0.00%"
"10/02/2026","4.246","4.246","4.246","4.246","0.07%"
"09/02/2026","4.243","4.243","4.243","4.243","0.50%"
"06/02/2026","4.222","4.222","4.222","4.222","0.07%"
"05/02/2026","4.219","4.219","4.219","4.219","-0.09%"
"04/02/2026","4.223","4.204","4.223","4.204","0.48%"
"03/02/2026","4.203","4.203","4.203","4.203","0.00%"
"02/02/2026","4.203","4.190","4.203","4.190","0.60%"
"30/01/2026","4.178","4.187","4.187","4.178","-0.24%"
"29/01/2026","4.188","4.188","4.188","4.188","0.29%"
"28/01/2026","4.176","4.176","4.176","4.176","-0.19%"
"27/01/2026","4.184","4.184","4.184","4.184","0.07%"
"26/01/2026","4.181","4.181","4.181","4.181","0.10%"
"23/01/2026","4.177","4.177","4.177","4.177","-0.19%"
"22/01/2026","4.185","4.185","4.185","4.185","0.58%"
"21/01/2026","4.161","4.161","4.161","4.161","-0.34%"
