time,VHC,FTS,FPT,VPB,DGC,CTR,VTP,SZC,SIP
2026-04-20 07:00:00,63000,25000,76000,28000,53000,87000,71000,29000,57000
2026-04-21 07:00:00,62000,24000,74000,27000,53000,86000,70000,28000,56000
2026-04-22 07:00:00,62000,24000,74000,27000,55000,85000,68000,28000,55000
2026-04-23 07:00:00,62000,24000,73000,27000,54000,86000,68000,28000,54000
2026-04-24 07:00:00,62000,24000,72000,27000,53000,87000,69000,28000,56000
2026-04-28 07:00:00,62000,23000,73000,27000,52000,87000,69000,27000,57000
2026-04-29 07:00:00,61000,23000,74000,26000,54000,86000,68000,27000,57000
2026-05-04 07:00:00,62000,23000,73000,26000,53000,85000,68000,28000,56000
2026-05-05 07:00:00,62000,23000,73000,28000,53000,84000,66000,27000,56000
2026-05-06 07:00:00,61000,24000,72000,28000,56000,84000,66000,27000,56000
2026-05-07 07:00:00,60000,24000,72000,28000,54000,85000,66000,27000,55000
2026-05-08 07:00:00,60000,24000,71000,27000,52000,83000,66000,27000,55000
2026-05-11 07:00:00,61000,24000,69000,27000,49000,82000,63000,26000,55000
2026-05-12 07:00:00,61000,24000,70000,27000,48000,82000,64000,26000,55000
2026-05-13 07:00:00,61000,24000,70000,27000,50000,86000,67000,26000,55000
2026-05-14 07:00:00,61000,24000,73000,28000,51000,86000,67000,26000,55000
2026-05-15 07:00:00,60000,24000,72000,28000,52000,85000,65000,26000,54000
2026-05-18 07:00:00,59000,24000,74000,27000,52000,87000,68000,26000,53000
2026-05-19 07:00:00,59000,24000,73000,27000,50000,93000,72000,26000,52000
2026-05-20 07:00:00,58000,24000,77000,27000,49000,95000,70000,25000,52000
2026-05-21 07:00:00,59000,24000,75000,27000,48000,95000,69000,25000,52000
2026-05-22 07:00:00,59000,24000,74000,27000,48000,93000,67000,25000,52000
2026-05-25 07:00:00,60000,24000,72000,27000,48000,92000,67000,25000,52000
2026-05-26 07:00:00,60000,24000,73000,28000,48000,90000,66000,25000,52000
2026-05-27 07:00:00,58000,24000,73000,28000,48000,90000,67000,25000,52000
2026-05-28 07:00:00,59000,24000,71000,27000,48000,90000,65000,24000,51000
2026-05-29 07:00:00,59000,24000,72000,27000,46000,88000,65000,23000,52000
2026-06-01 07:00:00,58000,24000,73000,27000,45000,88000,65000,24000,52000
2026-06-02 07:00:00,58000,24000,75000,26000,46000,89000,66000,23000,51000
2026-06-03 07:00:00,58000,24000,76000,26000,46000,90000,66000,23000,51000
2026-06-04 07:00:00,58000,24000,76000,26000,45000,92000,66000,23000,51000
2026-06-05 07:00:00,58000,24000,75000,26000,46000,92000,66000,23000,51000
