time,old_value,old_return,new_value,new_return,benefit
2026-04-20 07:00:00,897190000.00,0.00,911000000.00,0.00,13810000.00
2026-04-21 07:00:00,883220000.00,-0.02,895317833.47,-0.02,12097833.47
2026-04-22 07:00:00,883010000.00,-0.02,884740836.89,-0.03,1730836.89
2026-04-23 07:00:00,874460000.00,-0.03,883540352.43,-0.03,9080352.43
2026-04-24 07:00:00,867550000.00,-0.03,890260125.30,-0.02,22710125.30
2026-04-28 07:00:00,862260000.00,-0.04,893596320.34,-0.02,31336320.34
2026-04-29 07:00:00,868280000.00,-0.03,892390069.34,-0.02,24110069.34
2026-05-04 07:00:00,864800000.00,-0.04,884127074.67,-0.03,19327074.67
2026-05-05 07:00:00,868360000.00,-0.03,879569626.79,-0.03,11209626.79
2026-05-06 07:00:00,877400000.00,-0.02,874982486.98,-0.04,-2417513.02
2026-05-07 07:00:00,869940000.00,-0.03,870600274.83,-0.04,660274.83
2026-05-08 07:00:00,855980000.00,-0.05,861620083.90,-0.05,5640083.90
2026-05-11 07:00:00,830550000.00,-0.07,848730608.91,-0.07,18180608.91
2026-05-12 07:00:00,833010000.00,-0.07,852494692.17,-0.06,19484692.17
2026-05-13 07:00:00,839610000.00,-0.06,866384099.19,-0.05,26774099.19
2026-05-14 07:00:00,860350000.00,-0.04,877532108.72,-0.04,17182108.72
2026-05-15 07:00:00,854140000.00,-0.05,863784787.08,-0.05,9644787.08
2026-05-18 07:00:00,861720000.00,-0.04,879898475.44,-0.03,18178475.44
2026-05-19 07:00:00,849960000.00,-0.05,893287047.86,-0.02,43327047.86
2026-05-20 07:00:00,856610000.00,-0.05,905180218.92,-0.01,48570218.92
2026-05-21 07:00:00,848590000.00,-0.05,897498527.96,-0.01,48908527.96
2026-05-22 07:00:00,845770000.00,-0.06,884336450.93,-0.03,38566450.93
2026-05-25 07:00:00,840000000.00,-0.06,876932585.60,-0.04,36932585.60
2026-05-26 07:00:00,845560000.00,-0.06,876546901.43,-0.04,30986901.43
2026-05-27 07:00:00,842350000.00,-0.06,870415545.62,-0.04,28065545.62
2026-05-28 07:00:00,828900000.00,-0.08,860387281.01,-0.06,31487281.01
2026-05-29 07:00:00,817300000.00,-0.09,859876636.73,-0.06,42576636.73
2026-06-01 07:00:00,822650000.00,-0.08,864130646.36,-0.05,41480646.36
2026-06-02 07:00:00,824750000.00,-0.08,872396592.75,-0.04,47646592.75
2026-06-03 07:00:00,833900000.00,-0.07,881797615.07,-0.03,47897615.07
2026-06-04 07:00:00,831000000.00,-0.07,883356094.77,-0.03,52356094.77
2026-06-05 07:00:00,825600000.00,-0.08,876603558.78,-0.04,51003558.78
