date,rf_daily,rf_annual_pct
2021-01-04,0.00009651,2.43200000
2021-01-05,0.00009583,2.41500000
2021-01-06,0.00009631,2.42700000
2021-01-07,0.00009611,2.42200000
2021-01-08,0.00009667,2.43600000
2021-01-11,0.00009532,2.40200000
2021-01-12,0.00009460,2.38400000
2021-01-13,0.00009250,2.33100000
2021-01-14,0.00009214,2.32200000
2021-01-15,0.00008758,2.20700000
2021-01-18,0.00008718,2.19700000
2021-01-19,0.00008175,2.06000000
2021-01-20,0.00008778,2.21200000
2021-01-21,0.00008683,2.18800000
2021-01-22,0.00008683,2.18800000
2021-01-25,0.00008758,2.20700000
2021-01-26,0.00008853,2.23100000
2021-01-27,0.00008849,2.23000000
2021-01-28,0.00009187,2.31500000
2021-01-29,0.00009143,2.30400000
2021-02-01,0.00009044,2.27900000
2021-02-02,0.00009135,2.30200000
2021-02-03,0.00009107,2.29500000
2021-02-04,0.00008933,2.25100000
2021-02-05,0.00008917,2.24700000
2021-02-08,0.00009000,2.26800000
2021-02-09,0.00009020,2.27300000
2021-02-10,0.00008798,2.21700000
2021-02-11,0.00008139,2.05100000
2021-02-12,0.00008798,2.21700000
2021-02-15,0.00008798,2.21700000
2021-02-16,0.00008798,2.21700000
2021-02-17,0.00008766,2.20900000
2021-02-18,0.00008944,2.25400000
2021-02-19,0.00008813,2.22100000
2021-02-22,0.00008901,2.24300000
2021-02-23,0.00009032,2.27600000
2021-02-24,0.00009008,2.27000000
2021-02-25,0.00009167,2.31000000
2021-02-26,0.00009345,2.35500000
2021-03-01,0.00009266,2.33500000
2021-03-02,0.00009143,2.30400000
2021-03-03,0.00009107,2.29500000
2021-03-04,0.00009433,2.37700000
2021-03-05,0.00009298,2.34300000
2021-03-08,0.00009385,2.36500000
2021-03-09,0.00009476,2.38800000
2021-03-10,0.00009254,2.33200000
2021-03-11,0.00009496,2.39300000
2021-03-12,0.00009361,2.35900000
2021-03-15,0.00009373,2.36200000
2021-03-16,0.00009429,2.37600000
2021-03-17,0.00009603,2.42000000
2021-03-18,0.00009571,2.41200000
2021-03-19,0.00009647,2.43100000
2021-03-22,0.00009556,2.40800000
2021-03-23,0.00009480,2.38900000
2021-03-24,0.00009310,2.34600000
2021-03-25,0.00009504,2.39500000
2021-03-26,0.00009361,2.35900000
2021-03-29,0.00009452,2.38200000
2021-03-30,0.00009464,2.38500000
2021-03-31,0.00009468,2.38600000
2021-04-01,0.00009329,2.35100000
2021-04-02,0.00009373,2.36200000
2021-04-05,0.00009464,2.38500000
2021-04-06,0.00009393,2.36700000
2021-04-07,0.00009377,2.36300000
2021-04-08,0.00009385,2.36500000
2021-04-09,0.00009417,2.37300000
2021-04-12,0.00009468,2.38600000
2021-04-13,0.00009377,2.36300000
2021-04-14,0.00009429,2.37600000
2021-04-15,0.00009417,2.37300000
2021-04-16,0.00009075,2.28700000
2021-04-19,0.00009274,2.33700000
2021-04-20,0.00009202,2.31900000
2021-04-21,0.00009004,2.26900000
2021-04-22,0.00008901,2.24300000
2021-04-23,0.00009107,2.29500000
2021-04-26,0.00009052,2.28100000
2021-04-27,0.00009159,2.30800000
2021-04-28,0.00009179,2.31300000
2021-04-29,0.00009179,2.31300000
2021-04-30,0.00008980,2.26300000
2021-05-03,0.00008976,2.26200000
2021-05-04,0.00009437,2.37800000
2021-05-05,0.00009421,2.37400000
2021-05-06,0.00009516,2.39800000
2021-05-07,0.00009524,2.40000000
2021-05-10,0.00009496,2.39300000
2021-05-11,0.00009480,2.38900000
2021-05-12,0.00009413,2.37200000
2021-05-13,0.00009484,2.39000000
2021-05-14,0.00009440,2.37900000
2021-05-17,0.00009401,2.36900000
2021-05-18,0.00009389,2.36600000
2021-05-19,0.00009349,2.35600000
2021-05-20,0.00009306,2.34500000
2021-05-21,0.00009310,2.34600000
2021-05-24,0.00009222,2.32400000
2021-05-25,0.00009190,2.31600000
2021-05-26,0.00009194,2.31700000
2021-05-27,0.00009143,2.30400000
2021-05-28,0.00009119,2.29800000
2021-05-31,0.00009020,2.27300000
2021-06-01,0.00008940,2.25300000
2021-06-02,0.00008778,2.21200000
2021-06-03,0.00008940,2.25300000
2021-06-04,0.00008885,2.23900000
2021-06-07,0.00008897,2.24200000
2021-06-08,0.00008813,2.22100000
2021-06-09,0.00008750,2.20500000
2021-06-10,0.00008790,2.21500000
2021-06-11,0.00008655,2.18100000
2021-06-14,0.00008607,2.16900000
2021-06-15,0.00008770,2.21000000
2021-06-16,0.00008603,2.16800000
2021-06-17,0.00008599,2.16700000
2021-06-18,0.00008440,2.12700000
2021-06-21,0.00008635,2.17600000
2021-06-22,0.00008563,2.15800000
2021-06-23,0.00008647,2.17900000
2021-06-24,0.00008623,2.17300000
2021-06-25,0.00008825,2.22400000
2021-06-28,0.00008778,2.21200000
2021-06-29,0.00008647,2.17900000
2021-06-30,0.00008627,2.17400000
2021-07-01,0.00008575,2.16100000
2021-07-02,0.00008528,2.14900000
2021-07-05,0.00008468,2.13400000
2021-07-06,0.00008444,2.12800000
2021-07-07,0.00008548,2.15400000
2021-07-08,0.00008444,2.12800000
2021-07-09,0.00008440,2.12700000
2021-07-12,0.00008536,2.15100000
2021-07-13,0.00008508,2.14400000
2021-07-14,0.00008337,2.10100000
2021-07-15,0.00008345,2.10300000
2021-07-16,0.00008429,2.12400000
2021-07-19,0.00008464,2.13300000
2021-07-20,0.00008460,2.13200000
2021-07-21,0.00008425,2.12300000
2021-07-22,0.00008409,2.11900000
2021-07-23,0.00008440,2.12700000
2021-07-26,0.00008389,2.11400000
2021-07-27,0.00008397,2.11600000
2021-07-28,0.00008540,2.15200000
2021-07-29,0.00008409,2.11900000
2021-07-30,0.00008544,2.15300000
2021-08-02,0.00008778,2.21200000
2021-08-03,0.00008353,2.10500000
2021-08-04,0.00008619,2.17200000
2021-08-05,0.00008528,2.14900000
2021-08-06,0.00008405,2.11800000
2021-08-09,0.00008500,2.14200000
2021-08-10,0.00008440,2.12700000
2021-08-11,0.00008504,2.14300000
2021-08-12,0.00008357,2.10600000
2021-08-13,0.00008571,2.16000000
2021-08-16,0.00008278,2.08600000
2021-08-17,0.00008290,2.08900000
2021-08-18,0.00008393,2.11500000
2021-08-19,0.00008385,2.11300000
2021-08-20,0.00008210,2.06900000
2021-08-23,0.00008302,2.09200000
2021-08-24,0.00008258,2.08100000
2021-08-25,0.00008234,2.07500000
2021-08-26,0.00008270,2.08400000
2021-08-27,0.00008337,2.10100000
2021-08-30,0.00008246,2.07800000
2021-08-31,0.00008313,2.09500000
2021-09-01,0.00008214,2.07000000
2021-09-02,0.00008016,2.02000000
2021-09-03,0.00008016,2.02000000
2021-09-06,0.00008377,2.11100000
2021-09-07,0.00008262,2.08200000
2021-09-08,0.00008171,2.05900000
2021-09-09,0.00008171,2.05900000
2021-09-10,0.00008242,2.07700000
2021-09-13,0.00008139,2.05100000
2021-09-14,0.00008306,2.09300000
2021-09-15,0.00008107,2.04300000
2021-09-16,0.00008151,2.05400000
2021-09-17,0.00008218,2.07100000
2021-09-20,0.00008282,2.08700000
2021-09-21,0.00008286,2.08800000
2021-09-22,0.00008389,2.11400000
2021-09-23,0.00008409,2.11900000
2021-09-24,0.00008405,2.11800000
2021-09-27,0.00008504,2.14300000
2021-09-28,0.00008373,2.11000000
2021-09-29,0.00008512,2.14500000
2021-09-30,0.00008460,2.13200000
2021-10-01,0.00008417,2.12100000
2021-10-03,0.00008218,2.07100000
2021-10-04,0.00008433,2.12500000
2021-10-05,0.00008389,2.11400000
2021-10-06,0.00008373,2.11000000
2021-10-07,0.00008413,2.12000000
2021-10-08,0.00008460,2.13200000
2021-10-11,0.00008472,2.13500000
2021-10-12,0.00008468,2.13400000
2021-10-13,0.00008468,2.13400000
2021-10-14,0.00008448,2.12900000
2021-10-15,0.00008425,2.12300000
2021-10-18,0.00008433,2.12500000
2021-10-19,0.00008452,2.13000000
2021-10-20,0.00008492,2.14000000
2021-10-21,0.00008456,2.13100000
2021-10-22,0.00008389,2.11400000
2021-10-25,0.00008365,2.10800000
2021-10-26,0.00008389,2.11400000
2021-10-27,0.00008444,2.12800000
2021-10-28,0.00008389,2.11400000
2021-10-29,0.00008397,2.11600000
2021-11-01,0.00008567,2.15900000
2021-11-02,0.00008544,2.15300000
2021-11-03,0.00008563,2.15800000
2021-11-04,0.00008476,2.13600000
2021-11-05,0.00008468,2.13400000
2021-11-08,0.00008329,2.09900000
2021-11-09,0.00008361,2.10700000
2021-11-10,0.00008361,2.10700000
2021-11-11,0.00008317,2.09600000
2021-11-12,0.00008302,2.09200000
2021-11-15,0.00008234,2.07500000
2021-11-16,0.00008159,2.05600000
2021-11-17,0.00008163,2.05700000
2021-11-18,0.00008194,2.06500000
2021-11-19,0.00008131,2.04900000
2021-11-22,0.00008183,2.06200000
2021-11-23,0.00008159,2.05600000
2021-11-24,0.00008262,2.08200000
2021-11-25,0.00008238,2.07600000
2021-11-26,0.00008206,2.06800000
2021-11-29,0.00008194,2.06500000
2021-11-30,0.00008262,2.08200000
2021-12-01,0.00008317,2.09600000
2021-12-02,0.00008238,2.07600000
2021-12-03,0.00008306,2.09300000
2021-12-06,0.00008294,2.09000000
2021-12-07,0.00008222,2.07200000
2021-12-08,0.00008286,2.08800000
2021-12-09,0.00008242,2.07700000
2021-12-10,0.00008238,2.07600000
2021-12-13,0.00008163,2.05700000
2021-12-14,0.00008167,2.05800000
2021-12-15,0.00008087,2.03800000
2021-12-16,0.00008246,2.07800000
2021-12-17,0.00008302,2.09200000
2021-12-20,0.00008214,2.07000000
2021-12-21,0.00008250,2.07900000
2021-12-22,0.00008381,2.11200000
2021-12-23,0.00008325,2.09800000
2021-12-24,0.00008290,2.08900000
2021-12-27,0.00008306,2.09300000
2021-12-28,0.00008452,2.13000000
2021-12-29,0.00008452,2.13000000
2021-12-30,0.00008425,2.12300000
2021-12-31,0.00008333,2.10000000
